Year,Month,Global,NH,SH,Day,Date
1886,6,-0.676,-0.556,-0.916,15,1886-06-15
1886,7,-0.238,-0.097,-0.52,15,1886-07-15
1886,8,-0.349,-0.276,-0.494,15,1886-08-15
1886,9,-0.155,-0.189,-0.087,15,1886-09-15
1886,10,-0.594,-0.399,-0.985,15,1886-10-15
1886,11,-0.52,-0.665,-0.23,15,1886-11-15
1886,12,-0.276,-0.128,-0.572,15,1886-12-15
1887,1,-0.913,-1.318,-0.105,15,1887-01-15
1887,2,-0.93,-0.877,-1.037,15,1887-02-15
1887,3,-0.678,-0.717,-0.599,15,1887-03-15
1887,4,-0.816,-0.735,-0.977,15,1887-04-15
1887,5,-0.522,-0.148,-1.27,15,1887-05-15
1887,6,-0.477,-0.418,-0.597,15,1887-06-15
1887,7,-0.335,-0.147,-0.713,15,1887-07-15
1887,8,-0.487,-0.614,-0.233,15,1887-08-15
1887,9,-0.297,-0.048,-0.794,15,1887-09-15
1887,10,-0.839,-0.972,-0.573,15,1887-10-15
1887,11,-0.743,-0.612,-1.006,15,1887-11-15
1887,12,-0.766,-0.873,-0.551,15,1887-12-15
1888,1,-1.075,-1.339,-0.548,15,1888-01-15
1888,2,-1.101,-1.296,-0.711,15,1888-02-15
1888,3,-1.491,-1.698,-1.076,15,1888-03-15
1888,4,-0.447,-0.39,-0.562,15,1888-04-15
1888,5,-0.793,-0.602,-1.176,15,1888-05-15
1888,6,-0.521,-0.46,-0.641,15,1888-06-15
1888,7,-0.392,-0.332,-0.513,15,1888-07-15
1888,8,-0.386,-0.398,-0.363,15,1888-08-15
1888,9,-0.26,-0.31,-0.159,15,1888-09-15
1888,10,-0.351,-0.417,-0.218,15,1888-10-15
1888,11,-0.41,-0.73,0.23,15,1888-11-15
1888,12,-0.475,-0.843,0.26,15,1888-12-15
1889,1,-0.593,-0.86,-0.06,15,1889-01-15
1889,2,-0.309,-0.47,0.014,15,1889-02-15
1889,3,-0.355,-0.601,0.137,15,1889-03-15
1889,4,-0.015,0.07,-0.186,15,1889-04-15
1889,5,0.114,0.165,0.011,15,1889-05-15
1889,6,-0.063,0.038,-0.266,15,1889-06-15
1889,7,-0.263,-0.145,-0.498,15,1889-07-15
1889,8,-0.371,-0.163,-0.788,15,1889-08-15
1889,9,-0.471,-0.388,-0.638,15,1889-09-15
1889,10,-0.346,-0.431,-0.174,15,1889-10-15
1889,11,-0.784,-1.021,-0.309,15,1889-11-15
1889,12,-0.133,-0.174,-0.051,15,1889-12-15
1890,1,-0.428,-0.377,-0.53,15,1890-01-15
1890,2,-0.5,-0.335,-0.83,15,1890-02-15
1890,3,-0.631,-0.639,-0.614,15,1890-03-15
1890,4,-0.38,-0.209,-0.722,15,1890-04-15
1890,5,-0.719,-0.589,-0.978,15,1890-05-15
1890,6,-0.289,-0.291,-0.285,15,1890-06-15
1890,7,-0.377,-0.108,-0.917,15,1890-07-15
1890,8,-0.354,-0.098,-0.867,15,1890-08-15
1890,9,-0.19,-0.08,-0.411,15,1890-09-15
1890,10,-0.417,-0.267,-0.718,15,1890-10-15
